epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.3691,3.53621,0.23077,0.58077,2.9375,8.78049e-05,8.78049e-05,8.78049e-05
2,24.5983,2.71047,0.71923,0.97692,1.5077,0.000176045,0.000176045,0.000176045
3,34.5835,1.7841,0.86923,1,0.6467,0.000262502,0.000262502,0.000262502
4,44.2134,1.11116,0.89231,1,0.34907,0.000261981,0.000261981,0.000261981
5,54.1075,0.78192,0.93077,1,0.22419,0.000259308,0.000259308,0.000259308
6,64.1553,0.62481,0.94231,1,0.16666,0.000256635,0.000256635,0.000256635
7,74.1655,0.45354,0.93846,1,0.11852,0.000253962,0.000253962,0.000253962
8,83.8318,0.45615,0.97308,1,0.0829,0.000251289,0.000251289,0.000251289
9,93.8435,0.41358,0.92692,1,0.17315,0.000248616,0.000248616,0.000248616
10,103.362,0.35713,0.97692,1,0.07646,0.000245943,0.000245943,0.000245943
11,113.245,0.31484,0.96923,1,0.08583,0.00024327,0.00024327,0.00024327
12,123.36,0.27396,0.97308,1,0.06308,0.000240597,0.000240597,0.000240597
13,133.415,0.27203,0.98462,1,0.03992,0.000237924,0.000237924,0.000237924
14,143.204,0.26501,0.97692,1,0.04412,0.000235251,0.000235251,0.000235251
15,152.739,0.25456,0.98846,1,0.03116,0.000232578,0.000232578,0.000232578
16,162.522,0.24608,0.99231,1,0.02343,0.000229905,0.000229905,0.000229905
17,172.643,0.24145,0.98846,1,0.03911,0.000227232,0.000227232,0.000227232
18,182.44,0.24527,0.98462,1,0.03766,0.000224559,0.000224559,0.000224559
19,192.291,0.17044,0.98846,1,0.03791,0.000221886,0.000221886,0.000221886
20,202.506,0.18243,0.98462,1,0.03591,0.000219213,0.000219213,0.000219213
21,212.249,0.23409,0.98462,1,0.05696,0.00021654,0.00021654,0.00021654
22,222.318,0.17381,1,1,0.01768,0.000213867,0.000213867,0.000213867
23,232.179,0.17511,0.99231,1,0.03212,0.000211194,0.000211194,0.000211194
24,242.214,0.19987,0.99615,1,0.02227,0.000208521,0.000208521,0.000208521
25,252.172,0.12154,0.99615,1,0.01541,0.000205848,0.000205848,0.000205848
26,261.884,0.14992,0.98846,1,0.0253,0.000203175,0.000203175,0.000203175
27,272.312,0.15786,0.99615,1,0.01532,0.000200502,0.000200502,0.000200502
28,281.976,0.14612,0.98846,1,0.01711,0.000197829,0.000197829,0.000197829
29,291.719,0.13774,0.99231,1,0.02487,0.000195156,0.000195156,0.000195156
30,301.469,0.15312,1,1,0.00844,0.000192483,0.000192483,0.000192483
31,311.256,0.14542,0.99231,1,0.02358,0.00018981,0.00018981,0.00018981
32,321.643,0.13322,0.98462,1,0.03146,0.000187137,0.000187137,0.000187137
33,331.259,0.11963,0.99615,1,0.0091,0.000184464,0.000184464,0.000184464
34,341.048,0.15607,0.99615,1,0.0238,0.000181791,0.000181791,0.000181791
35,351.344,0.10933,0.99615,1,0.01297,0.000179118,0.000179118,0.000179118
36,361.312,0.08091,0.99615,1,0.00998,0.000176445,0.000176445,0.000176445
37,370.977,0.10438,0.99231,1,0.01492,0.000173772,0.000173772,0.000173772
38,380.95,0.09823,0.99615,1,0.00891,0.000171099,0.000171099,0.000171099
39,390.975,0.11467,0.99231,1,0.01481,0.000168426,0.000168426,0.000168426
40,400.503,0.11071,0.99615,1,0.01807,0.000165753,0.000165753,0.000165753
41,410.729,0.08839,0.99615,1,0.00683,0.00016308,0.00016308,0.00016308
42,420.678,0.08264,0.99615,1,0.00684,0.000160407,0.000160407,0.000160407
43,430.486,0.0718,1,1,0.00617,0.000157734,0.000157734,0.000157734
44,440.113,0.09354,0.99615,1,0.01236,0.000155061,0.000155061,0.000155061
45,450.326,0.09966,1,1,0.00875,0.000152388,0.000152388,0.000152388
46,460.603,0.04481,0.99615,1,0.00601,0.000149715,0.000149715,0.000149715
47,470.15,0.08263,1,1,0.00311,0.000147042,0.000147042,0.000147042
48,480.172,0.08558,1,1,0.00345,0.000144369,0.000144369,0.000144369
49,490.311,0.06573,0.99615,1,0.00501,0.000141696,0.000141696,0.000141696
50,500.23,0.11459,1,1,0.00347,0.000139023,0.000139023,0.000139023
51,510.571,0.09509,0.99615,1,0.00734,0.00013635,0.00013635,0.00013635
52,520.33,0.05863,0.99615,1,0.00634,0.000133677,0.000133677,0.000133677
53,530.063,0.07784,0.99615,1,0.0054,0.000131004,0.000131004,0.000131004
54,540.072,0.06798,0.99615,1,0.00663,0.000128331,0.000128331,0.000128331
55,550.35,0.05495,0.99615,1,0.00799,0.000125658,0.000125658,0.000125658
56,560.037,0.05964,0.99615,1,0.00882,0.000122985,0.000122985,0.000122985
57,570.059,0.06506,0.99615,1,0.0048,0.000120312,0.000120312,0.000120312
58,579.903,0.06181,1,1,0.00348,0.000117639,0.000117639,0.000117639
59,589.842,0.06207,1,1,0.00382,0.000114966,0.000114966,0.000114966
60,599.58,0.03833,0.99615,1,0.01215,0.000112293,0.000112293,0.000112293
61,609.746,0.05505,1,1,0.00221,0.00010962,0.00010962,0.00010962
62,619.711,0.06517,1,1,0.00196,0.000106947,0.000106947,0.000106947
63,629.623,0.05113,1,1,0.00356,0.000104274,0.000104274,0.000104274
64,639.475,0.07974,1,1,0.00129,0.000101601,0.000101601,0.000101601
65,649.816,0.05793,1,1,0.00163,9.8928e-05,9.8928e-05,9.8928e-05
66,659.321,0.03697,1,1,0.00512,9.6255e-05,9.6255e-05,9.6255e-05
67,669.473,0.04579,0.99615,1,0.00533,9.3582e-05,9.3582e-05,9.3582e-05
68,679.634,0.05961,1,1,0.00229,9.0909e-05,9.0909e-05,9.0909e-05
69,689.332,0.0872,0.99615,1,0.00372,8.8236e-05,8.8236e-05,8.8236e-05
70,699.428,0.04595,0.99615,1,0.00597,8.5563e-05,8.5563e-05,8.5563e-05
