epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.8062,0.92948,0.90667,1,0.25391,0.000409226,0.000409226,0.000409226
2,19.463,0.37567,0.93333,1,0.15121,0.000817717,0.000817717,0.000817717
3,26.8538,0.33648,0.95556,1,0.17576,0.00121796,0.00121796,0.00121796
4,34.2898,0.32015,0.96889,1,0.09119,0.00121287,0.00121287,0.00121287
5,41.8377,0.24621,0.97333,1,0.09556,0.0012005,0.0012005,0.0012005
6,48.8938,0.23025,0.96444,1,0.0905,0.00118812,0.00118812,0.00118812
7,56.6232,0.18983,0.96444,1,0.08275,0.00117575,0.00117575,0.00117575
8,63.9586,0.16176,0.95556,1,0.10212,0.00116337,0.00116337,0.00116337
9,71.3579,0.15524,0.94222,1,0.15482,0.001151,0.001151,0.001151
10,78.5878,0.20372,0.97778,1,0.05006,0.00113863,0.00113863,0.00113863
11,85.6001,0.16508,0.96,1,0.07995,0.00112625,0.00112625,0.00112625
12,92.8582,0.12732,0.98222,1,0.04908,0.00111388,0.00111388,0.00111388
13,99.959,0.13114,0.98222,1,0.03085,0.0011015,0.0011015,0.0011015
14,107.083,0.14676,0.96889,1,0.04969,0.00108913,0.00108913,0.00108913
15,114.031,0.14006,0.96,1,0.08289,0.00107675,0.00107675,0.00107675
16,121.187,0.12102,0.98222,1,0.04691,0.00106437,0.00106437,0.00106437
17,128.192,0.09659,0.90222,1,0.48202,0.001052,0.001052,0.001052
18,135.06,0.10114,0.97778,1,0.05101,0.00103962,0.00103962,0.00103962
19,142.333,0.09704,0.97333,1,0.03782,0.00102725,0.00102725,0.00102725
20,149.238,0.08822,0.96889,1,0.04519,0.00101488,0.00101488,0.00101488
21,156.303,0.09358,0.97333,1,0.06797,0.0010025,0.0010025,0.0010025
22,163.463,0.06986,0.98222,1,0.03643,0.000990125,0.000990125,0.000990125
23,170.367,0.09265,0.98667,1,0.03114,0.00097775,0.00097775,0.00097775
24,177.749,0.08407,0.96889,1,0.0923,0.000965375,0.000965375,0.000965375
25,185.016,0.08783,0.98667,1,0.04073,0.000953,0.000953,0.000953
26,192.119,0.08828,0.98222,1,0.06443,0.000940625,0.000940625,0.000940625
27,199.72,0.09764,0.97778,1,0.06729,0.00092825,0.00092825,0.00092825
28,206.782,0.08367,0.97778,1,0.05195,0.000915875,0.000915875,0.000915875
29,213.62,0.08351,0.98222,1,0.04173,0.0009035,0.0009035,0.0009035
30,220.997,0.06564,0.98222,1,0.03682,0.000891125,0.000891125,0.000891125
31,230.738,0.06254,0.98667,1,0.04098,0.00087875,0.00087875,0.00087875
32,239.324,0.06346,0.97778,1,0.04658,0.000866375,0.000866375,0.000866375
33,246.862,0.06935,0.98222,1,0.03324,0.000854,0.000854,0.000854
34,255.229,0.06198,0.98667,1,0.05633,0.000841625,0.000841625,0.000841625
35,264.036,0.0506,0.97333,1,0.06035,0.00082925,0.00082925,0.00082925
36,272.08,0.04962,0.98222,1,0.04664,0.000816875,0.000816875,0.000816875
37,280.064,0.03923,0.98222,1,0.03765,0.0008045,0.0008045,0.0008045
38,287.513,0.0348,0.99556,1,0.03233,0.000792125,0.000792125,0.000792125
39,296.029,0.04491,0.97778,1,0.04714,0.00077975,0.00077975,0.00077975
40,304.523,0.04787,0.98222,1,0.05068,0.000767375,0.000767375,0.000767375
41,312.242,0.04045,0.97333,1,0.0584,0.000755,0.000755,0.000755
42,320.343,0.03533,0.97778,1,0.05723,0.000742625,0.000742625,0.000742625
43,328.088,0.03964,0.98667,1,0.05495,0.00073025,0.00073025,0.00073025
44,336.315,0.05657,0.97333,1,0.05239,0.000717875,0.000717875,0.000717875
45,344.05,0.0403,0.96,1,0.0778,0.0007055,0.0007055,0.0007055
46,350.936,0.04101,0.98667,1,0.04902,0.000693125,0.000693125,0.000693125
47,358.039,0.05028,0.97778,1,0.04377,0.00068075,0.00068075,0.00068075
48,365.144,0.0276,0.99556,1,0.0236,0.000668375,0.000668375,0.000668375
49,372.485,0.03261,0.98667,1,0.03793,0.000656,0.000656,0.000656
50,379.615,0.02187,0.99556,1,0.03041,0.000643625,0.000643625,0.000643625
51,386.724,0.02873,0.98667,1,0.03752,0.00063125,0.00063125,0.00063125
52,394.673,0.03398,0.98667,1,0.03406,0.000618875,0.000618875,0.000618875
53,401.723,0.03557,0.99556,1,0.0399,0.0006065,0.0006065,0.0006065
54,408.817,0.04169,0.98222,1,0.04446,0.000594125,0.000594125,0.000594125
55,415.943,0.0263,0.98667,1,0.03219,0.00058175,0.00058175,0.00058175
56,423.081,0.03145,0.99556,1,0.03586,0.000569375,0.000569375,0.000569375
57,429.946,0.02236,0.98667,1,0.03767,0.000557,0.000557,0.000557
58,437.488,0.02427,0.99556,1,0.03892,0.000544625,0.000544625,0.000544625
59,444.519,0.04173,0.99556,1,0.05433,0.00053225,0.00053225,0.00053225
60,451.554,0.02451,0.97778,1,0.0536,0.000519875,0.000519875,0.000519875
61,458.887,0.03484,0.99556,1,0.04929,0.0005075,0.0005075,0.0005075
62,466.739,0.017,0.98667,1,0.04408,0.000495125,0.000495125,0.000495125
63,474.124,0.01786,0.97333,1,0.05106,0.00048275,0.00048275,0.00048275
64,482.724,0.03527,0.99111,1,0.04196,0.000470375,0.000470375,0.000470375
65,489.586,0.0339,0.99111,1,0.04288,0.000458,0.000458,0.000458
66,496.578,0.02095,0.98667,1,0.03301,0.000445625,0.000445625,0.000445625
67,503.828,0.02754,0.99111,1,0.03093,0.00043325,0.00043325,0.00043325
68,511.025,0.01757,0.98222,1,0.04132,0.000420875,0.000420875,0.000420875
69,519.136,0.02786,0.99556,1,0.04635,0.0004085,0.0004085,0.0004085
70,526.411,0.02863,0.99556,1,0.03372,0.000396125,0.000396125,0.000396125
71,533.435,0.02401,0.99111,1,0.03504,0.00038375,0.00038375,0.00038375
72,542.334,0.01732,0.99111,1,0.05137,0.000371375,0.000371375,0.000371375
73,550.08,0.01455,0.99111,1,0.04806,0.000359,0.000359,0.000359
74,557.262,0.01469,0.99111,1,0.03845,0.000346625,0.000346625,0.000346625
75,564.449,0.0081,0.99111,1,0.03819,0.00033425,0.00033425,0.00033425
76,571.588,0.02265,0.99111,1,0.03287,0.000321875,0.000321875,0.000321875
77,580.785,0.02124,0.98667,1,0.04226,0.0003095,0.0003095,0.0003095
78,588.118,0.02353,0.98667,1,0.05235,0.000297125,0.000297125,0.000297125
79,596.536,0.01579,0.99111,1,0.0524,0.00028475,0.00028475,0.00028475
80,604.499,0.01605,0.97778,1,0.05621,0.000272375,0.000272375,0.000272375
81,611.908,0.01096,0.97778,1,0.22803,0.00026,0.00026,0.00026
82,620.933,0.01231,0.98667,1,0.04113,0.000247625,0.000247625,0.000247625
83,629.077,0.00925,0.98667,1,0.04201,0.00023525,0.00023525,0.00023525
84,635.94,0.01143,0.97778,1,0.04966,0.000222875,0.000222875,0.000222875
85,643.136,0.0119,0.97778,1,0.04369,0.0002105,0.0002105,0.0002105
86,651.108,0.01757,0.98667,1,0.03785,0.000198125,0.000198125,0.000198125
87,657.968,0.01434,0.97778,1,0.05335,0.00018575,0.00018575,0.00018575
